# All data in this file is in the public domain. It is from https://pubchem.ncbi.nlm.nih.gov/ and https://www.wikidata.org/.
id,formula,meltingPoint,boilingPoint,density,specificHeatCapacity,thermalConductivity,refractiveIndex,viscosity
hydrogen,H2,13.81,20.28,0.00008988,,,,
helium,He,0.95,4.22,0.0001785,,,,
lithium,Li,453.65,1615,0.534,,,,
beryllium,Be,1560,2744,1.85,,,,
boron,B,2348,4273,2.37,,,,
carbon,C,3823,4098,2.2670,,,,
nitrogen,N2,63.15,77.36,0.0012506,,,,
oxygen,O2,54.36,90.2,0.001429,,,,
flourine,F2,53.53,85.03,0.001696,,,,
neon,Ne,24.56,27.07,0.0008999,,,,
sodium,Na,370.95,1156,0.97,,,,
magnesium,Mg,923,1363,1.74,,,,
aluminum,Al,933.437,2792,2.70,,,,
silicon,Si,1687,3538,2.3296,,,,
phosphorus,P,317.3,553.65,1.82,,,,
sulfur,S,388.36,717.75,2.067,,,,
chlorine,Cl2,171.65,239.11,0.003214,,,,
argon,Ar,83.8,87.3,0.0017837,,,,
potassium,K,336.53,1032,0.89,,,,
calcium,Ca,1115,1757,1.54,,,,
scandium,Sc,1814,3109,2.99,,,,
titanium,Ti,1941,3560,4.5,,,,
vanadium,V,2183,3680,6.0,,,,
chromium,Cr,2180,2944,7.15,,,,
manganese,Mn,1519,2334,7.3,,,,
iron,Fe,1811,3134,7.874,,,,
cobalt,Co,1768,3200,8.86,,,,
nickel,Ni,1728,3186,8.912,,,,
copper,Cu,1357.77,2835,8.933,,,,
zinc,Zn,692.68,1180,7.134,,,,
gallium,Ga,302.91,2477,5.91,,,,
germanium,Ge,1211.4,3106,5.323,,,,
arsenic,As,1090,887,5.776,,,,
selenium,Se,493.65,958,4.809,,,,
bromine,Br2,265.95,331.95,3.11,,,,
krypton,Kr,115.79,119.93,0.003733,,,,
rubidium,Rb,312.46,961,1.53,,,,
strontium,Sr,1050,1655,2.64,,,,
yttrium,Y,1795,3618,4.47,,,,
zirconium,Zr,2128,4682,6.52,,,,
niobium,Nb,2750,5017,8.57,,,,
molybdeneum,Mo,2896,4912,10.2,,,,
technetium,Tc,2430,4538,11,,,,
ruthenium,Ru,2607,4423,12.1,,,,
rhodium,Rh,2237,3968,12.4,,,,
palladium,Pd,1828.05,3236,12.0,,,,
silver,Ag,1234.93,2435,10.501,,,,
cadmium,Cd,594.22,1040,8.69,,,,
indium,In,429.75,2345,7.31,,,,
tin,Sn,505.08,2875,7.287,,,,
antimony,Sb,903.78,1860,6.685,,,,
tellurium,Te,722.66,1261,6.232,,,,
iodine,I2,386.85,457.55,4.93,,,,
xenon,Xe,161.36,165.03,0.,,,,
cesium,Cs,301.59,944,1.93,,,,
barium,Ba,1000,2170,3.62,,,,
lanthanum,La,1191,3737,6.15,,,,
cerium,Ce,1071,3697,6.770,,,,
praesodymium,Pr,1204,3793,6.77,,,,
neodymium,Nd,1294,3347,7.01,,,,
promethium,Pm,1315,3273,7.26,,,,
samarium,Sm,1347,2067,7.52,,,,
europium,Eu,1095,1802,5.24,,,,
gadolinium,Gd,1586,3546,7.90,,,,
terbium,Tb,1629,3503,8.23,,,,
dysprosium,Dy,1685,2840,8.55,,,,
holmium,ho,1747,2973,8.80,,,,
erbium,Er,1802,3141,9.07,,,,
thulium,Tm,1818,2223,9.32,,,,
ytterbium,Yb,1092,1469,6.90,,,,
lutetium,Lu,1936,3675,9.84,,,,
hafnium,Hf,2506,4876,13.3,,,,
tantalum,Ta,3290,5731,16.4,,,,
tungsten,W,3695,5828,19.3,,,,
rhenium,Re,3459,5869,20.8,,,,
osmium,Os,3306,5285,22.57,,,,
iridium,Ir,2719,4701,22.42,,,,
platinum,Pt,2041.55,4098,21.46,,,,
gold,Au,1337.33,3129,19.282,,,,
mercury,Hg,234.32,629.88,13.5336,,,,
thallium,Tl,577,1746,11.8,,,,
lead,Pb,600.61,2022,11.342,,,,
bismuth,Bi,544.55,1837,9.807,,,,
polonium,Po,527,1235,9.32,,,,
astastine,At2,575,,,,,,
radon,Rn,202,211.45,0.00973,,,,
francium,Fr,300,,,,,,
radium,Ra,973,1413,5,,,,
actinium,Ac,1324,3471,10.07,,,,
thorium,Th,2023,5061,11.72,,,,
protactinium,Pa,1845,,,,,,
uranium,U,1408,4404,18.95,,,,
neptunium,Np,917,4175,20.25,,,,
plutonium,Pu,913,3501,19.84,,,,
americium,Am,1449,2284,13.69,,,,
curium,Cm,1618,3400,13.51,,,,
berkelium,Bk,1323,,,,,,
californium,Cf,1173,,,,,,
einsteinium,Es,1133,,,,,,
fermium,Fm,1800,,,,,,
mendelevium,Md,1100,,,,,,
nobelium,No,1100,,,,,,
lawrencium,Lr,1900,,,,,,
rutherfordium,Rf,,,,,,,
dubnium,Db,,,,,,,
seaborgium,Sg,,,,,,,
bohrium,Bh,,,,,,,
hassium,Hs,,,,,,,
meitnerium,Mt,,,,,,,
darmstadtium,Ds,,,,,,,
roentgenium,Rg,,,,,,,
copernicium,Cn,,,,,,,
nihonium,Nh,,,,,,,
flerovium,Fl,,,,,,,
moscovium,Mc,,,,,,,
livermorium,Lv,,,,,,,
tennessine,Ts2,,,,,,,
oganesson,Og,,,,,,,
water,H20,273.15,373.124,1,4184,0.56,1.333,0.8949
