# Original data is from the International Atomic Energy Agency (IAEA) Nuclear Data Services (https://www-nds.iaea.org). The data was processed by speedydelete.
z,n,symbol,radius,mass,abundance,halfLife,halfLifeOperator,decay1,decay1Prob,decay2,decay2Prob,decay3,decay3Prob,magneticDipoleMoment,betaMinusEnergy,neutronEnergy,alphaEnergy,electronCaptureEnergy
0,1,n,-0.1149,1.008664916,,613.9,,B-,100,,,,,-1.9130427,782.347,,,
0,4,n,null,null,,1.75E-22,<,,,,,,,,,,,
0,6,n,null,null,,null,,,,,,,,,,,,
1,0,H,0.8783,1.007825032,0.999855,stable,,,,,,,,2.792847351,,,,-782.347
1,1,H,2.1421,2.014101778,0.000145,stable,,,,,,,,0.857438231,,,,
1,2,H,1.7591,3.016049281,,388781328,,B-,100,,,,,2.97896246,18.59202,,,
1,3,H,null,4.026431867,,null,,N,100,,,,,,22196.2131,1618.5921,,
1,4,H,null,5.035311492,,8.61E-23,,2N,100,,,,,,21661.2131,22396.2132,,
1,5,H,null,6.044955437,,2.94E-22,,,,,,,,,24283.6294,22573.1725,,
1,6,H,null,7.052749,,5.07E-21,,,,,,,,,23062,23472,,
2,1,He,1.9661,3.016029322,0.000002,stable,,,,,,,,-2.12762531,-13736,,,-18.592
2,2,He,1.6755,4.002603254,0.999998,stable,,,,,,,,,-22898.274,-34313,0,-22196.213
2,3,He,null,5.012057224,,7.04E-22,,N,,,,,,,-447.6529,-22163.274,735,-21661.213
2,4,He,2.066,6.018885889,,0.8067,,B-,100,,,,,,3505.2147,-2158.1098,,-24283.63
2,5,He,null,7.027990652,,3.04E-21,,N,,,,,,,11166.0229,3914.929,,-23061.872
2,6,He,1.9239,8.033934388,,0.1191,,B-,100,B-N,16,,,,10663.8784,8631.2602,,
2,7,He,null,9.043946414,,null,,N,100,,,,,,15980.9213,11918.7038,,
2,8,He,null,10.05281531,,1.52E-21,,N,100,,,,,,16144.5191,16170.9236,,
3,1,Li,null,4.027185561,,null,,P,100,,,,,,,,,22898.274
3,2,Li,null,5.0125378,,3.71E-22,,P,,,,,,,-25460,,1964.9999,447.653
3,3,Li,2.589,6.015122887,0.0485,stable,,,,,,,,0.822043,-4288.1534,-31123,-1473.7583,-3505.215
3,4,Li,2.444,7.016003434,0.9515,stable,,,,,,,,3.256407,-861.893,-11539.2472,-2467.6221,-11166.023
3,5,Li,2.339,8.022486244,,0.8399,,B-A,100,B-,100,,,1.6535,16004.1329,-2894.5112,-6100.2403,-10663.878
3,6,Li,2.245,9.026790191,,0.1783,,B-,100,B-N,50.8,,,3.43666,13606.4541,11941.9153,-10362.4579,-15980.921
3,7,Li,null,10.03548345,,null,,N,100,,,,,,20445.1411,13632.8587,-11248.0128,-16144.519
3,8,Li,2.482,11.04372358,,0.00875,,B-,100,B-N,,,,3.6711,20551.0898,20049.454,-10832,
3,9,Li,null,12.05261394,,null,,N,100,,,,,,23931.8152,20761.0898,,
4,2,Be,null,6.019726409,,4.96E-21,,A,100,2P,100,,,,-28945,,,4288.154
4,3,Be,2.646,7.016928714,,4598208,,EC,100,,,,,-1.39928,-11907.5551,-39622,-1587.1371,861.893
4,4,Be,null,8.005305102,,8.19E-17,,A,100,,,,,,-17979.8973,-30806.1992,91.8399,-16004.133
4,5,Be,2.519,9.012183062,1,stable,,,,,,,,-1.17743,-1068.0349,-19644.4361,-2307.6989,-13606.454
4,6,Be,2.355,10.01353469,,47650958221634,,B-,100,,,,,,556.8759,-7880.3173,-7409.5245,-20445.141
4,7,Be,2.463,11.02166108,,13.76,,B-,100,B-A,3.1,B-P,0.00083,-1.6816,11509.4607,55.2401,-8320.8746,-20551.09
4,8,Be,null,12.02692208,,0.02146,,B-,100,B-N,0.5,,,,11708.3636,8338.7353,-8956.8373,-23931.816
4,9,Be,null,13.03613451,,2.70E-21,,N,,,,,,,17097.1315,12218.3636,-9701.6627,-23321.815
4,10,Be,null,14.04289292,,0.00435,,B-,100,B-N,81,B-2N,5,,16290.8166,15321.2364,-11667.5601,
4,11,Be,null,15.05349022,,7.87E-22,,N,100,,,,,,20868.4411,18090.8166,,
4,12,Be,null,16.06167204,,5.70E-22,,N,100,,,,,,20335.4399,20418.4411,,
5,2,B,null,7.029712,,5.70E-22,,P,100,,,,,,,,-3415,11907.555
5,3,B,null,8.024607315,,0.77,,EC+B+,100,B+A,100,,,1.0355,-12142.7002,,-4826.5368,17979.897
5,4,B,null,9.013329645,,8.45E-19,,P,100,,,,,,-16494.4854,-30719.1014,-1687.3169,1068.035
5,5,B,2.4277,10.01293686,0.1965,stable,,,,,,,,1.8004636,-3648.0623,-24931.6787,-4461.1857,-556.876
5,6,B,2.406,11.00930517,0.8035,stable,,,,,,,,2.688378,-1981.6889,-15102.2829,-8664.3124,-11509.461
5,7,B,null,12.01435264,,0.0202,,B-,100,B-A,0.6,,,1.003,13369.3979,-5351.3172,-10001.3225,-11708.363
5,8,B,null,13.01777998,,0.01733,,B-,100,B-N,0.286,,,3.1778,13436.9387,8490.63,-10817.8729,-17097.132
5,9,B,null,14.02540401,,0.0125,,B-,100,B-N,6.1,,,1.185,20643.7926,12467.3585,-11813.8576,-16290.816
5,10,B,null,15.03108702,,0.00993,,B-,100,B-N,99.68,,,2.659,19084.2343,17866.1681,-14195.795,-20868.442
5,11,B,null,16.03984105,,4.56E-21,<,N,100,,,,,,23417.5656,19167.2355,-14322.7938,-20335.44
5,12,B,null,17.0469314,,0.00508,,B-,100,B-N,63,B-2N,11,2.55,22684.4422,21950.8705,-15689.4889,
5,13,B,null,18.05560168,,null,,N,100,,,,,,26873.3742,22689.4423,,
5,14,B,null,19.064166,,0.00292,,B-,100,B-N,71.8,B-2N,16,,27356.4961,26779.6669,,
5,15,B,null,20.07450564,,9.12E-22,<,N,100,,,,,,31898.0019,28916.4961,,
5,16,B,null,21.08414749,,7.60E-22,<,2N,100,,,,,,32740,32808.002,,
6,2,C,null,8.037643039,,3.51E-21,,2P,100,,,,,,,,,12142.7
6,3,C,null,9.031037202,,0.1265,,EC+B+,100,B+P,62,B+A,37.9,1.3914,,,-10653,16494.485
6,4,C,null,10.01685322,,19.29,,EC+B+,100,,,,,,-23101.3545,,-5101.2767,3648.062
6,5,C,null,11.0114326,,1221.84,,EC+B+,100,,,,,-0.964,-13716.2469,-36221.9485,-7544.5165,1981.689
6,6,C,2.4702,12,0.9894,stable,,,,,,,,,-17338.0681,-32436.962,-7366.5875,-13369.398
6,7,C,2.4614,13.00335484,0.0106,stable,,,,,,,,0.702369,-2220.4718,-22284.3768,-10648.3575,-13436.939
6,8,C,2.5025,14.00324199,,179874478055,,B-,100,,,,,,156.4765,-10396.9059,-12012.5091,-20643.793
6,9,C,null,15.01059926,,2.449,,B-,100,,,,,1.72,9771.7071,-1061.5897,-12728.9395,-19084.234
6,10,C,null,16.01470126,,0.747,,B-,100,B-N,99,,,,8010.226,5521.377,-13808.5442,-23417.566
6,11,C,null,17.02257865,,0.193,,B-,100,B-N,26,,,0.758,13161.8007,7276.6542,-15052.1159,-22684.442
6,12,C,null,18.02675193,,0.092,,B-,100,B-N,31.5,,,,11806.0982,8977.8688,-17460.1527,-26873.374
6,13,C,null,19.03479759,,0.0463,,B-,100,B-N,47,B-2N,7,,16557.4995,11229.269,-19836.982,-27356.497
6,14,C,null,20.04026173,,0.0163,,B-,100,B-N,65,B-2N,18.6,,15737.0689,13575.9936,-22368.4878,-31898.002
6,16,C,null,22.05755399,,0.0061,,B-,100,B-N,61,B-2N,37,,21846.3983,20307.9695,,
7,3,N,null,10.04165354,,1.82E-22,,P,100,,,,,,,,-10945,23101.354
7,4,N,null,11.02615759,,5.50E-22,,P,100,,,,,,-23373.2693,,-5735.8247,13716.247
7,5,N,null,12.01861318,,0.011,,EC+B+,100,B+A,1.93,,,0.4571,-14675.2668,-38472.1632,-8008.4167,17338.068
7,6,N,null,13.00573861,,597.9,,EC+B+,100,,,,,0.3219,-17769.9506,-34739.1719,-9495.9206,2220.472
7,7,N,2.5582,14.003074,0.996205,stable,,,,,,,,0.403573,-5144.3643,-28323.3329,-11612.1097,-156.476
7,8,N,2.6058,15.0001089,0.003795,stable,,,,,,,,-0.2830569,-2754.1841,-15977.6611,-10991.1859,-9771.707
7,9,N,null,16.00610193,,7.13,,B-,100,B-A,0.0012,,,1.9856,10420.9094,-5243.0331,-10110.4066,-8010.226
7,10,N,null,17.00844888,,4.173,,B-,100,B-N,95.1,B-A,0.0025,0.3552,8678.843,4535.7629,-11116.7852,-13161.801
7,11,N,null,18.01407756,,0.619,,B-,100,B-A,12.2,B-N,12,0.3274,13895.9838,5850.6136,-12975.4343,-11806.099
7,12,N,null,19.01702239,,0.336,,B-,100,B-N,41.8,,,0.305,12523.3972,8567.7533,-15526.0403,-16557.499
7,13,N,null,20.0233673,,0.1344,,B-,100,B-N,42.9,,,,17970.3261,10362.322,-17770.1168,-15737.069
7,14,N,null,21.02708757,,0.084,,B-,100,B-N,86,,,,17169.8816,13364.4256,-20909.3222,-20411.085
7,15,N,null,22.03410092,,0.023,,B-,100,B-N,34,B-2N,12,,22481.7725,15631.4527,-22452.7511,-21846.398
7,16,N,null,23.039421,,0.0141,,B-,100,B-N,42,B-2N,8,,22099.0584,19366.0789,-25474.7374,
7,17,N,null,24.05039,,0.000000052,<,N,,,,,,,28438,24245,-24888,
8,3,O,null,11.05124983,,3.51E-22,,2P,100,,,,,,,,,23373.269
8,4,O,null,12.03436773,,6.34E-21,<,2P,100,,,,,,,,-5475.8501,14675.267
8,5,O,null,13.02481544,,0.00858,,B+P,100,EC+B+,100,,,1.3892,-18915,,-8220.4554,17769.951
8,6,O,null,14.00859671,,70.606,,EC+B+,100,,,,,,-23956.6215,-42093,-10115.8076,5144.364
